"Action","Aktion"
"Add Item","Element hinzufügen"
"Are you sure?","Sind Sie sicher?"
"Attachment","Anhang, Beilage"
"Attribute Set Name","Name des Attributsets"
"Change status","Status ändern"
"Content","Inhalt"
"Content-Disposition","Art des Inhaltes"
"Delete","Entfernen"
"Delete File","Datei entfernen"
"Delete Item","Element entfernen"
"Details","Details"
"Edit","Bearbeiten"
"Edit Item '%s'","Bearbeite Element '%s'"
"File Information","Datei-Information"
"File Manager","Dateimanager"
"File was successfully deleted","Datei wurde erfolgreich entfernt"
"General Setting","Allgemeine Einstellungen"
"Inline","Inline"
"Item Fileuploader","Item Fileuploader"
"Item Information","Element Information"
"Item Manager","Elemente verwalten"
"Item does not exist","Element existiert nicht"
"Item was successfully saved","Element wurde erfolgreich gespeichert"
"Manage Attachments","Anhänge verwalten"
"Name","Name"
"Name in %s","Name in %s"
"Please select item(s)","Please select item(s)"
"Product Attachment","Produkt-Beilage"
"Product Attachments","Produkt-Anhänge"
"Product Description","Produktbeschreibung"
"Product Information","Produkt-Information"
"Products","Produkte"
"Qty","Menge"
"Save And Continue Edit","Speichern und weiter bearbeiten"
"Save Item","Element speichern"
"Sorry, there was an error getting requested content.","Sorry, there was an error getting requested content."
"Status","Status"
"Title","Überschrift"
"Total of %d record(s) were successfully updated","Insgesamt wurden %d Datensätze erfolgreich aktualisiert"
"Type","Typ"
"Unable to find item to save","Kann das zu speichernde Element nicht finden"
"Visibility","Sichtbarkeit"
