"Action","Action"
"Add Item","Add Item"
"Are you sure?","Are you sure?"
"Attachment","Attachment"
"Attrib. Set Name","Attrib. Set Name"
"Change status","Change status"
"Content","Content"
"Content-Disposition","Content-Disposition"
"Delete","Delete"
"Delete File","Delete File"
"Delete Item","Delete Item"
"Details","Details"
"Disabled","Disabled"
"Edit","Edit"
"Edit Item '%s'","Edit Item '%s'"
"Enabled","Enabled"
"File","File"
"File Information","File Information"
"File Manager","File Manager"
"File was successfully deleted","File was successfully deleted"
"General Setting","General Setting"
"ID","ID"
"Inline","Inline"
"Item Fileuploader","Item Fileuploader"
"Item Information","Item Information"
"Item Manager","Item Manager"
"Item does not exist","Item does not exist"
"Item was successfully saved","Item was successfully saved"
"Manage Attachments","Manage Attachments"
"Name","Name"
"Name in %s","Name in %s"
"Please select item(s)","Please select item(s)"
"Price","Price"
"Product Attachment","Product Attachment"
"Product Attachments","Product Attachments"
"Product Description","Product Description"
"Product Information","Product Information"
"Products","Products"
"Qty","Qty"
"Save And Continue Edit","Save And Continue Edit"
"Save Item","Save Item"
"SKU","SKU"
"Sorry, there was an error getting requested content.","Sorry, there was an error getting requested content."
"Sort Order","Sort Order"
"Status","Status"
"Title","Title"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Type","Type"
"Unable to find item to save","Unable to find item to save"
"Visibility","Visibility"
"Websites","Websites"
